URL,Title,Brand,SKU Density,Size Options,Color Options,Availability,DeliveryEstimate,Seller,Price,Rating,Number of Ratings,Platform,Scraped On
https://www.flipkart.com/lzard-regular-men-black-jeans/p/itm9d31f6d50e925?pid=JEAGVVZJKFZJ3UVA&lid=LSTJEAGVVZJKFZJ3UVAIKJ5AK&marketplace=FLIPKART&q=mens+jeans&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_11&otracker=search&fm=organic&iid=84ae4814-bae4-470a-b957-098efae18335.JEAGVVZJKFZJ3UVA.SEARCH&ppt=pp&ppn=pp&ssid=8lkq1dlrps0000001750684641434&qH=462e4d2bc105b2ed,Men Regular Mid Rise Black Jeans,Lzard,16,9,7,In stock,"26 Jun, Thursday",DECENTDENIM3.5,₹423,3.6,"20,598 ratings and 819 reviews",flipkart,"23 Jun, Monday"
https://www.flipkart.com/tidda-boot-leg-men-dark-grey-jeans/p/itme3242be2f6ff8?pid=JEAHC8GXWFDYNRA5&lid=LSTJEAHC8GXWFDYNRA5JCMTZV&marketplace=FLIPKART&q=mens+jeans&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_12&otracker=search&fm=organic&iid=84ae4814-bae4-470a-b957-098efae18335.JEAHC8GXWFDYNRA5.SEARCH&ppt=pp&ppn=pp&ssid=8lkq1dlrps0000001750684641434&qH=462e4d2bc105b2ed,Men Boot-Leg Mid Rise Dark Grey Jeans,TIDDA,0,0,0,In stock,"26 Jun, Thursday",sonakshieterprises4.3,₹470,4.2,,flipkart,"23 Jun, Monday"
https://www.flipkart.com/dais-stretchable-slim-men-brown-jeans/p/itm784d31d0302fb?pid=JEAFGC9CHH3G524N&lid=LSTJEAFGC9CHH3G524NURA9NP&marketplace=FLIPKART&q=mens+jeans&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_13&otracker=search&fm=organic&iid=84ae4814-bae4-470a-b957-098efae18335.JEAFGC9CHH3G524N.SEARCH&ppt=pp&ppn=pp&ssid=8lkq1dlrps0000001750684641434&qH=462e4d2bc105b2ed,Stretchable Men Slim Mid Rise Brown Jeans,Dais,15,8,7,In stock,"26 Jun, Thursday",BLOOM EXIM PVT LTD3.9,₹408,3.7,"42,862 ratings and 5,155 reviews",flipkart,"23 Jun, Monday"
https://www.flipkart.com/indian-garage-co-slim-men-blue-jeans/p/itmf857db635ac7c?pid=JEAGMVGHWYRWH4RF&lid=LSTJEAGMVGHWYRWH4RFDIJUAC&marketplace=FLIPKART&q=mens+jeans&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_14&otracker=search&fm=organic&iid=84ae4814-bae4-470a-b957-098efae18335.JEAGMVGHWYRWH4RF.SEARCH&ppt=pp&ppn=pp&ssid=8lkq1dlrps0000001750684641434&qH=462e4d2bc105b2ed,Men Slim Mid Rise Blue Jeans,The Indian Garage Co.,0,0,0,In stock,"26 Jun, Thursday",HSAtlastradeFashion4.2,₹544,4.1,"1,522 ratings and 90 reviews",flipkart,"23 Jun, Monday"
https://www.flipkart.com/meixn-loose-fit-men-light-blue-jeans/p/itm11055a473c723?pid=JEAH4NED4TAHNNZU&lid=LSTJEAH4NED4TAHNNZUIYEQCC&marketplace=FLIPKART&q=mens+jeans&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_15&otracker=search&fm=organic&iid=84ae4814-bae4-470a-b957-098efae18335.JEAH4NED4TAHNNZU.SEARCH&ppt=pp&ppn=pp&ssid=8lkq1dlrps0000001750684641434&qH=462e4d2bc105b2ed,Men Loose Fit Mid Rise Light Blue Jeans,MEIXN,0,0,0,In stock,"26 Jun, Thursday",RadhaVallabh1(New Seller)(Not Enough Ratings),₹415,3.5,"4,533 ratings and 273 reviews",flipkart,"23 Jun, Monday"
https://www.flipkart.com/urbano-fashion-loose-fit-men-grey-jeans/p/itm47f2416a9a6e8?pid=JEAHF6X9KJNEMF2Y&lid=LSTJEAHF6X9KJNEMF2YZFST7X&marketplace=FLIPKART&q=mens+jeans&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_16&otracker=search&fm=organic&iid=84ae4814-bae4-470a-b957-098efae18335.JEAHF6X9KJNEMF2Y.SEARCH&ppt=pp&ppn=pp&ssid=8lkq1dlrps0000001750684641434&qH=462e4d2bc105b2ed,Men Loose Fit Mid Rise Grey Jeans,Urbano Fashion,18,8,10,In stock,"26 Jun, Thursday",RetailNet4.2,₹704,3.8,"1,912 ratings and 73 reviews",flipkart,"23 Jun, Monday"
https://www.flipkart.com/supernova-inc-slim-men-black-jeans/p/itmc0670b1f3c1c0?pid=JEAG29EZX65NABJF&lid=LSTJEAG29EZX65NABJFOI79HA&marketplace=FLIPKART&q=mens+jeans&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_17&otracker=search&fm=organic&iid=84ae4814-bae4-470a-b957-098efae18335.JEAG29EZX65NABJF.SEARCH&ppt=pp&ppn=pp&ssid=8lkq1dlrps0000001750684641434&qH=462e4d2bc105b2ed,Men Slim Mid Rise Black Jeans,Supernova Inc.,12,8,4,In stock,"26 Jun, Thursday",RetailNet4.2,₹469,3.9,"53,047 ratings and 4,426 reviews",flipkart,"23 Jun, Monday"
https://www.flipkart.com/dashing-fit-boyfriend-men-blue-jeans/p/itm6c06a362df00c?pid=JEAHCW4YAGRARMG6&lid=LSTJEAHCW4YAGRARMG6ZDRGJ7&marketplace=FLIPKART&q=mens+jeans&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_18&otracker=search&fm=organic&iid=84ae4814-bae4-470a-b957-098efae18335.JEAHCW4YAGRARMG6.SEARCH&ppt=pp&ppn=pp&ssid=8lkq1dlrps0000001750684641434&qH=462e4d2bc105b2ed,Men Boyfriend Mid Rise Blue Jeans,DASHING FIT,0,0,0,In stock,"26 Jun, Thursday",SHRIRADHEENTERPRISES283.3,₹420,3.9,,flipkart,"23 Jun, Monday"
https://www.flipkart.com/killer-slim-men-dark-green-jeans/p/itma430ab391d9e9?pid=JEAHBXPMYBH5GGES&lid=LSTJEAHBXPMYBH5GGESUNF2ZL&marketplace=FLIPKART&q=mens+jeans&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_19&otracker=search&fm=organic&iid=84ae4814-bae4-470a-b957-098efae18335.JEAHBXPMYBH5GGES.SEARCH&ppt=pp&ppn=pp&ssid=8lkq1dlrps0000001750684641434&qH=462e4d2bc105b2ed,Men Slim Mid Rise Dark Green Jeans,KILLER,0,0,0,In stock,"26 Jun, Thursday",HSAtlastradeFashion4.2,"₹1,405",4.3,202 ratings and 18 reviews,flipkart,"23 Jun, Monday"
https://www.flipkart.com/supernova-inc-slim-men-light-blue-jeans/p/itm0462b269ee3cf?pid=JEAFVEG2HMKFDKBP&lid=LSTJEAFVEG2HMKFDKBPYIPVDE&marketplace=FLIPKART&q=mens+jeans&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_20&otracker=search&fm=organic&iid=84ae4814-bae4-470a-b957-098efae18335.JEAFVEG2HMKFDKBP.SEARCH&ppt=pp&ppn=pp&ssid=8lkq1dlrps0000001750684641434&qH=462e4d2bc105b2ed,Men Slim Mid Rise Light Blue Jeans,Supernova Inc.,12,8,4,In stock,"26 Jun, Thursday",RetailNet4.2,₹472,3.9,"53,047 ratings and 4,426 reviews",flipkart,"23 Jun, Monday"
